formal,slang
I went to the coffee shop this morning to get my favorite latte.,I hit up the coffee spot this morning to snag my fave latte.
I'll see you at the coffee shop later.,"Catch you at the coffee spot later, fr."
I'm really happy that you came to the party yesterday.,I'm mad hyped you pulled up to the party yesterday!
"Hey, I think we should grab some coffee later.","Yo, let's snag some coffee later, fam."
I'm really tired today after staying up all night.,"I'm hella drained 'cause I stayed up all night, fr fr."
I'm just relaxing at home right now.,I'm just vibing at home rn.
I'm heading to the mall to grab some snacks with my friends.,I'm finna hit the mall with my crew to snag some snacks.
I'm just trying to get through the day without any drama.,"I'm just vibing through the day without any mess, no cap."
I'm just feeling really tired after a long day at work.,"I'm so wiped after a long shift, fr fr."
"Hey, do you want to hang out later after school?","Yo, wanna kick it after class?"
"Hey, I'm just going to grab some coffee before work.","Hey, I'm just gonna grab some coffee before work."
"Hey, I just saw that new movie everyone's talking about.","Yo, just peeped that new flick everyone's buzzing about!"
"Hey, I found a new cafe that's really nice to hang out in.","Yo, I copped a new spot that's mad chill to vibe at."
I'm feeling pretty tired today because I didn't get enough sleep.,I'm feeling pretty tired today cuz I didn't get enough sleep.
I'm just going to relax and watch some shows tonight.,I'm just gonna relax and watch some shows tonight.
I am really tired today because I didn't sleep well last night.,I'm really tired today cuz I didn't sleep well last night.
"Hey, do you want to grab something to eat together later?","Hey, do you wanna grab something to eat together later?"
"I'm really tired today, I just want to relax and do nothing.","I'm so drained today, just wanna chill and do nada."
I'm just trying to hang out with my friends this weekend.,I'm just tryna vibe with my squad this weekend.
I'm going to grab some coffee at the café.,I'm gonna grab some coffee at the café.
I'm just going to relax at home and watch some Netflix tonight.,I'm just gonna relax at home and watch some Netflix tonight.
I'm feeling pretty tired today after staying up late last night.,I'm hella drained today 'cause I stayed up all night smh.
I really like that new song you recommended to me.,"That new bop you dropped on me is lowkey fire, I'm obsessed!"
"Hey, I just finished my homework and I need a break.","Yo, just wrapped my homework and I need a chill sesh."
I just got back from shopping and I'm exhausted.,"Just hit the mall, and I'm wiped."
I'm just trying to finish my homework before going out with friends.,I'm just tryna wrap up my homework before vibing with friends.
I'm feeling pretty tired today after a long week.,"I'm totally drained after a wild long week, lol."
I'm just taking a walk in the park to relax.,I'm just vibing in the park to chill.
I'm going to grab some lunch with my friends this afternoon.,I'm gonna grab some lunch with my friends this afternoon.
"Hey, are you free this evening to hang out?","Yo, you chillin' tonight? Wanna link up?"
"Hey, I really like your new outfit!","Yo, your drip is fire, love it!"
I'm going to grab some coffee with my friend later today.,I'm gonna grab some coffee with my friend later today.
I was just chilling with my friends at the park.,I was just vibin' with my crew at the park.
I'm really tired and just want to stay home today.,I'm really tired and just wanna stay home today.
"Hey, I saw you at the park yesterday and you looked really happy.","Yo, saw u at the park yesterday, u looked vibing real hard."
I'm really tired after a long day and just want to relax.,I'm totally drained after a long day and just wanna chill.
I went to the park yesterday and saw a lot of people having fun.,I hit up the park yesterday and saw a bunch of peeps vibing and having a good time.
I'm thinking of grabbing some coffee before work.,"Gonna snag a coffee before clockin' in, lol."
I'm just going to grab some coffee and then go home and relax.,I'm just gonna grab some coffee and then go home and relax.
I'm just ready to relax and watch some movies tonight.,I'm just vibing to chill and binge some movies tonight.
I'm really tired after walking around the mall all afternoon.,"I'm so drained 'cause I spent the whole day roaming the mall, lol."
I'm just going to hang out with my friends tomorrow evening.,I'm just gonna hang out with my friends tomorrow evening.
I'm going to the supermarket to buy some snacks.,I'm gonna the supermarket to buy some snacks.
I'm going to grab some coffee with my friend this afternoon.,Gonna catch some coffee with my peep later.
"Hey, I just finished my homework and I'm so ready to chill now.","Yo, just wrapped my homework and I'm vibing to relax now."
I'm feeling really tired today because I stayed up late last night.,I'm feeling really tired today cuz I stayed up late last night.
"Hey, could you send me the notes from yesterday's meeting?","Yo, can you send me the deets from yesterday's meet? Thanks fam!"
"It's really hot outside today, so I think I'll stay indoors.","It's mad hot out today, so I'm just chillin' inside."
I'm just going to relax and watch some TV.,I'm just gonna relax and watch some TV.
I'm just going to relax and watch some TV now.,I'm just gonna relax and watch some TV now.
I think I should probably get some sleep now.,"Lowkey, I gotta dip and catch some Z's soon."
"Hey, did you see my new phone? It's pretty cool.","Yo, did you peep my new phone? It's mad sick."
"Hey, do you want to grab dinner after work?","Hey, do you wanna grab dinner after work?"
"Hey, do you want to go grab some coffee after work?","Yo, wanna hit up coffee after work? ✨"
I'm just feeling really tired today and don't want to go out.,"I'm hella drained today, I lowkey don't wanna step out."
That's amazing!,That's lit!
I'm not sure about that.,I'm lowkey unsure.
You only live once.,YOLO.
That's suspicious.,That's sus.
I'm so excited!,I'm so hype!
That's really good.,That's fire.
I'm going to sleep.,I'm gonna sleep.
What's going on?,What's the tea?
That's terrible.,That's trash.
Are you serious?,For real?
I don't understand.,I'm confused AF.
I'm very happy.,I'm stoked.
Let's hang out.,Let's chill.
You're so funny.,You're hilarious.
I'm really hungry.,I'm starving.
It's very cold.,It's freezing.
I'm very tired.,I'm exhausted.
This is difficult.,This is tough.
I'm very busy.,I'm swamped.
That's really strange.,That's weird.
I understand.,I get it.
I don't care.,I'm not bothered.
I agree.,I feel you.
You're really cool.,You're dope.
I'm very excited.,I'm pumped.
I'm angry.,I'm pissed.
I'm disappointed.,I'm bummed.
Let's leave.,Let's bounce.
Are you okay?,You good?
I'm really scared.,I'm shook.
That's embarrassing.,That's cringe.
It's amazing.,It's epic.
That's a big deal.,That's huge.
It's very funny.,It's hilarious.
I'm happy.,I'm chillin'.
That's great.,That's awesome.
Let's go.,Let's roll.
I'm surprised.,I'm shooketh.
It's very expensive.,It's boujee.
It's very cheap.,It's ratchet.
I'm excited.,I'm hyped.
That's very easy.,That's a breeze.
It's very hard.,It's tough.
I'm leaving.,I'm out.
I'm sorry.,My bad.
That's fantastic.,That's bomb.
I'm ready.,I'm set.
I'm worried.,I'm stressed.
It's very beautiful.,It's stunning.
I'm angry.,I'm mad.
It's very quiet.,It's dead silent.
That's really interesting.,That's intriguing.
I'm really bored.,I'm bored AF.
It's really boring.,It's a snoozefest.
It's very scary.,It's terrifying.
I'm in trouble.,I'm in deep.
That's very important.,That's crucial.
It's really bad.,It's awful.
